State,Percent No Vehicles,Median Home Value
Alabama,6,154000
Alaska,9.9,281200
Arizona,6,255900
Arkansas,6.4,136200
California,7.1,568500
Colorado,5.1,394600
Connecticut,8.7,280700
Delaware,5.7,261700
District of Columbia,34.9,646500
Florida,6.1,245100
Georgia,6.4,202500
Hawaii,7.7,669200
Idaho,4.1,255200
Illinois,11.1,209100
Indiana,6.5,156000
Iowa,6.1,158900
Kansas,5.3,163200
Kentucky,7.2,151700
Louisiana,8.5,172100
Maine,6.4,200500
Maryland,9.1,332500
Massachusetts,12.4,418600
Michigan,7.5,169600
Minnesota,6.6,246700
Mississippi,6.5,128200
Missouri,6.9,168000
Montana,4.6,253600
Nebraska,5.4,172700
Nevada,7.1,317800
New Hampshire,5.3,281400
New Jersey,11.6,348800
New Mexico,5.8,180900
New York,29.4,338700
North Carolina,5.8,193200
North Dakota,5.3,205400
Ohio,7.7,157200
Oklahoma,5.6,147000
Oregon,7.8,354600
Pennsylvania,11,192600
Rhode Island,9.7,283000
South Carolina,6,179800
South Dakota,5.1,185000
Tennessee,5.7,191900
Texas,5.4,200400
Utah,3.9,330300
Vermont,6.9,233200
Virginia,6.1,288800
Washington,7.1,387600
West Virginia,9.3,124600
Wisconsin,6.7,197200
Wyoming,4.4,235200
