State,Total Population,Moved Percent,Moved Total
Alabama,4849509,2.2,106689
Alaska,722063,4.7,33937
Arizona,7200620,3.5,252022
Arkansas,2989054,2,59781
California,39084048,1.2,469009
Colorado,5701658,4.2,239470
Connecticut,3531986,2.5,88300
Delaware,964817,3.9,37628
District of Columbia,697556,8.4,58595
Florida,21269409,2.8,595543
Georgia,10499808,2.7,283495
Hawaii,1396819,3.6,50285
Idaho,1764327,4.5,79395
Illinois,12536539,1.5,188048
Indiana,6656971,2.3,153110
Iowa,3121385,2.3,71792
Kansas,2879518,3.3,95024
Kentucky,4421512,2.3,101695
Louisiana,4595111,1.5,68927
Maine,1331656,2.7,35955
Maryland,5979602,2.4,143510
Massachusetts,6828110,2.1,143390
Michigan,9880758,1.3,128450
Minnesota,5575235,1.9,105929
Mississippi,2943737,2.1,61818
Missouri,6069697,2.5,151742
Montana,1056994,3.9,41223
Nebraska,1910711,2.4,45857
Nevada,3048602,4.4,134138
New Hampshire,1350155,3.7,49956
New Jersey,8791672,1.7,149458
New Mexico,2073628,2.7,55988
New York,19240920,1.3,250132
North Carolina,10371906,3,311157
North Dakota,750501,4.9,36775
Ohio,11556037,1.8,208009
Oklahoma,3907258,2.6,101589
Oregon,4178578,3.1,129536
Pennsylvania,12670245,2.1,266075
Rhode Island,1050602,3.3,34670
South Carolina,5092727,3.5,178245
South Dakota,872708,3.1,27054
Tennessee,6754461,2.9,195879
Texas,28642658,2,572853
Utah,3162102,3,94863
Vermont,617560,3.4,20997
Virginia,8439982,3.1,261639
Washington,7527366,3.1,233348
West Virginia,1773280,2.2,39012
Wisconsin,5760481,1.9,109449
Wyoming,572884,5.3,30363
